,CVE_ENT,Prevalence,Incidence,N,Bribes_Preval.,Bribes_Inci.,Concentration,Bribes_Conc.,denuncias_homs,poblacion,tasahom
1,1,57.61844,67.86172,781,42.25352,104.99360,1.177778,2.484848,39,1252265,3.114357
2,2,82.07705,95.47739,597,56.95142,80.40201,1.163265,1.411765,775,3381080,22.921670
3,3,40.92072,51.15090,782,42.19949,86.95652,1.250000,2.060606,56,718196,7.797314
4,4,123.82934,190.42664,961,39.54214,89.49011,1.537815,2.263158,67,880299,7.611050
5,5,37.66234,58.44156,770,29.87013,59.74026,1.551724,2.000000,645,2890108,22.317505
6,6,93.10762,159.61306,827,16.92866,31.43894,1.714286,1.857143,178,698295,25.490659
7,7,60.24096,92.36948,1245,47.38956,86.74699,1.533333,1.830508,503,5119186,9.825781
8,8,61.01344,105.48087,967,32.05791,46.53568,1.728814,1.451613,1443,3635966,39.686840
9,9,56.81818,78.40909,880,36.36364,155.68182,1.380000,4.281250,749,8893742,8.421652
10,10,53.97727,102.27273,704,26.98864,41.19318,1.894737,1.526316,476,1728429,27.539459
11,11,99.25094,117.97753,534,50.56180,80.52434,1.188679,1.592593,641,5719709,11.206864
12,12,190.69240,287.17367,881,74.91487,98.75142,1.505952,1.318182,2087,3523858,59.224861
13,13,69.09548,187.18593,796,32.66332,130.65327,2.709091,4.000000,123,2806334,4.382942
14,14,65.77181,85.90604,745,48.32215,72.48322,1.306122,1.500000,1099,7742303,14.194743
15,15,164.01274,219.74522,628,84.39490,181.52866,1.339806,2.150943,1932,16364210,11.806253
16,16,123.84852,246.67349,977,41.96520,75.74207,1.991736,1.804878,902,4529914,19.912078
17,17,169.75309,290.12346,648,94.13580,364.19753,1.709091,3.868852,597,1874188,31.853795
18,18,61.74699,106.92771,664,49.69880,93.37349,1.731707,1.878788,151,1178403,12.813952
19,19,75.17900,133.65155,838,36.99284,121.71838,1.777778,3.290323,719,4941059,14.551536
20,20,114.94253,209.19540,870,67.81609,131.03448,1.820000,1.932203,536,3959042,13.538629
21,21,77.48691,150.78534,955,59.68586,113.08901,1.945946,1.894737,409,6067607,6.740713
22,22,67.17226,83.42362,923,23.83532,31.41928,1.241935,1.318182,111,1943889,5.710203
23,23,49.20049,72.57073,813,71.34071,125.46125,1.475000,1.758621,214,1484960,14.411163
24,24,66.59836,116.80328,976,19.46721,33.81148,1.753846,1.736842,261,2702145,9.658993
25,25,51.31761,128.98752,721,47.15673,88.76560,2.513514,1.882353,1208,2932313,41.196148
26,26,29.92126,45.66929,635,31.49606,111.81102,1.526316,3.550000,575,2851462,20.165094
27,27,51.36268,107.96646,954,29.35010,64.98952,2.102041,2.214286,140,2334493,5.997019
28,28,108.63005,172.60109,1657,60.95353,103.19855,1.588889,1.693069,555,3461336,16.034271
29,29,87.20272,141.56285,883,72.48018,420.15855,1.623377,5.796875,70,1242734,5.632742
30,30,114.28571,211.42857,1050,45.71429,199.04762,1.850000,4.354167,863,7923198,10.892067
31,31,23.85496,48.66412,1048,41.98473,82.06107,2.040000,1.954545,40,2064151,1.937843
32,32,56.50102,73.51940,1469,27.22941,49.01293,1.301205,1.800000,167,1550179,10.772949